time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity
16.534,500,0.32067030867355,9.41457415716437,0.780585843690107,0.82970429456044,-2.38197211044782,-2.44700023279801,68.4781733496651,-3.01483143320383,0.779318840019537,1.08377365749727,-0.761265757818463,-0.553752397186492,energy,0.513452454302732,4.16666666666667
16.536,500,0.318746286730123,9.4029517890665,0.779340354709017,0.828721039269158,-2.38041093868628,-2.44534279064075,68.4865004680171,-3.01515322660437,0.778035615987446,1.08247621057147,-0.760090852284722,-0.553109265802124,energy,0.513452454302732,4.16666666666667
16.538,500,0.316833808918904,9.39131815981353,0.778097943909003,0.827737320583237,-2.37885225790283,-2.44368731592095,68.494827594105,-3.01547481976137,0.776755754500128,1.08117798937179,-0.758918659384735,-0.552465994123872,energy,0.513452454302732,4.16666666666667
16.54,500,0.314932805975098,9.3796732447745,0.776858630962514,0.826753118047715,-2.3772960619411,-2.44203380960632,68.5031547279116,-3.01579621299052,0.77547927302088,1.07987897301968,-0.757749200481262,-0.55182256265985,energy,0.513452454302732,4.16666666666667
16.542,500,0.313043209049496,9.36801701880201,0.775622434872859,0.825768411957788,-2.37574234460538,-2.44038227270396,68.51148186942,-3.01611740660823,0.77420618836438,1.07857914136231,-0.756582496265053,-0.551178952672972,energy,0.513452454302732,4.16666666666667
16.544,500,0.311164949705987,9.35634945788675,0.774389373982025,0.824783183326328,-2.37419109966195,-2.43873270625895,68.5198090186132,-3.01643840093166,0.772936516704333,1.07727847498709,-0.755418566762624,-0.550535146102331,energy,0.513452454302732,4.16666666666667
16.546,500,0.309297959919074,9.34417721955628,0.773150549848282,0.823797413858522,-2.37264232084042,-2.43708511135298,68.5281361754741,-3.01675919627868,0.771661475027449,1.07596306875462,-0.754248632790383,-0.549905011980211,energy,0.513452454302732,4.16666666666667
16.548,500,0.307442172071414,9.33304569239426,0.771932817061382,0.822809359851254,-2.37109601966728,-2.43543949255512,68.5364633399821,-3.01707979306348,0.770407561890046,1.0746747030634,-0.753099196711365,-0.549243328490126,energy,0.513452454302732,4.16666666666667
16.55,500,0.305597518951369,9.32133338782906,0.770709263550244,0.82182275605696,-2.36955215395983,-2.43379584696493,68.5447905121245,-3.01740019149241,0.769148218217183,1.07337142017158,-0.751943703234507,-0.548599424378818,energy,0.513452454302732,4.16666666666667
16.552,500,0.30376393375057,9.30961136548289,0.769488911507001,0.820835511098676,-2.36801073535952,-2.43215417586476,68.553117691884,-3.01772039188827,0.767892345345228,1.07206723102517,-0.750791057457351,-0.54795516110411,energy,0.513452454302732,4.16666666666667
