time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,obstaclex,obstacley
5.476,500,-360,0,0,-30.8071472581625,0,1.87663587108586,19.067196429933,9.91079914861841,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.478,500,-360,0,0,-30.8071472581626,0,1.81502157364301,19.0754694967472,9.90979874043696,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.48,500,-360,0,0,-30.8071472581626,0,1.75340727620017,19.0837414829667,9.90878943620832,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.482,500,-360,0,0,-30.8071472581627,0,1.69179297875732,19.0920123790255,9.90777123709967,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.484,500,-360,0,0,-30.8071472581627,0,1.63017868131447,19.1002821753591,9.90674414428848,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.486,500,-360,0,0,-30.8071472581628,0,1.56856438387162,19.1085508624039,9.90570815896251,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.488,500,-360,0,0,-30.8071472581628,0,1.50695008642878,19.116818430598,9.90466328231981,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.49,500,-360,0,0,-30.8071472581629,0,1.44533578898593,19.1250848703803,9.90360951556868,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.492,500,-360,0,0,-30.8071472581629,0,1.38372149154308,19.1333501721915,9.90254685992774,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.494,500,-360,0,0,-30.807147258163,0,1.32210719410023,19.1416143264733,9.90147531662587,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.496,500,-360,0,0,-30.807147258163,0,1.26049289665738,19.1498773236689,9.90039488690222,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.498,500,-360,0,0,-30.807147258163,0,1.19887859921454,19.1581391542226,9.89930557200624,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.5,500,-360,0,0,-30.8071472581631,0,1.13726430177169,19.1663998085804,9.89820737319763,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.502,500,-360,0,0,-30.8071472581631,0,1.07565000432884,19.1746592771893,9.89710029174638,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.504,500,-360,0,0,-30.8071472581631,0,1.01403570688599,19.1829175504979,9.89598432893275,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.506,500,-360,0,0,-30.8071472581632,0,0.952421409443144,19.1911746189561,9.89485948604726,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.508,500,-360,0,0,-30.8071472581632,0,0.890807112000296,19.1994304730153,9.89372576439072,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.51,500,-360,0,0,-30.8071472581632,0,0.829192814557447,19.2076851031282,9.89258316527419,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.512,500,-360,0,0,-30.8071472581633,0,0.767578517114599,19.2159384997489,9.89143169001899,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.514,500,-360,0,0,-30.8071472581633,0,0.70596421967175,19.2241906533329,9.89027133995673,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.516,500,-360,0,0,-30.8071472581633,0,0.644349922228902,19.2324415543373,9.88910211642926,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.518,500,-360,0,0,-30.8071472581633,0,0.582735624786053,19.2406911932205,9.8879240207887,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.52,500,-360,0,0,-30.8071472581634,0,0.521121327343205,19.2489395604424,9.88673705439744,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.522,500,-360,0,0,-30.8071472581634,0,0.459507029900356,19.2571866464644,9.8855412186281,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.524,500,-360,0,0,-30.8071472581634,0,0.397892732457507,19.2654324417493,9.88433651486359,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.526,500,-360,0,0,-30.8071472581634,0,0.336278435014658,19.2736769367615,9.88312294449706,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.528,500,-360,0,0,-30.8071472581634,0,0.27466413757181,19.2819201219669,9.8819005089319,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.53,500,-360,0,0,-30.8071472581635,0,0.213049840128961,19.2901619878328,9.88066920958178,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.532,500,-360,0,0,-30.8071472581635,0,0.151435542686112,19.2984025248282,9.87942904787061,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.534,500,-360,0,0,-30.8071472581635,0,0.0898212452432629,19.3066417234233,9.87818002523253,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.536,500,-360,0,0,-30.8071472581635,0,0.028206947800414,19.3148795740904,9.87692214311195,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.538,500,-360,0,0,-30.8071472581635,0,-0.033407349642435,19.3231160673027,9.87565540296351,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.54,500,-360,0,0,-30.8071472581635,0,-0.0950216470852841,19.3313511935356,9.87437980625211,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.542,500,-360,0,0,-30.8071472581635,0,-0.156635944528133,19.3395849432656,9.87309535445288,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.544,500,-360,0,0,-30.8071472581636,0,-0.218250241970982,19.3478173069711,9.87180204905119,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.546,500,-360,0,0,-30.8071472581636,0,-0.279864539413831,19.3560482751319,9.87049989154265,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.548,500,-360,0,0,-30.8071472581636,0,-0.34147883685668,19.3642778382296,9.86918888343311,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.55,500,-360,0,0,-30.8071472581636,0,-0.40309313429953,19.3725059867472,9.86786902623866,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.552,500,-360,0,0,-30.8071472581636,0,-0.464707431742379,19.3807327111695,9.8665403214856,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.554,500,-360,0,0,-30.8071472581636,0,-0.526321729185228,19.3889580019829,9.8652027707105,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.556,500,-360,0,0,-30.8071472581636,0,-0.587936026628077,19.3971818496755,9.86385637546013,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.558,500,-360,0,0,-30.8071472581636,0,-0.649550324070926,19.405404244737,9.86250113729149,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.56,500,-360,0,0,-30.8071472581637,0,-0.711164621513776,19.4136251776588,9.86113705777181,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.562,500,-360,0,0,-30.8071472581637,0,-0.772778918956625,19.4218446389341,9.85976413847856,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.564,500,-360,0,0,-30.8071472581637,0,-0.834393216399474,19.4300626190576,9.85838238099941,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.566,500,-360,0,0,-30.8071472581637,0,-0.896007513842324,19.4382791085258,9.85699178693226,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.568,500,-360,0,0,-30.8071472581637,0,-0.957621811285173,19.446494097837,9.85559235788522,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.57,500,-360,0,0,-30.8071472581637,0,-1.01923610872802,19.4547075774912,9.85418409547665,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.572,500,-360,0,0,-30.8071472581637,0,-1.08085040617087,19.4629195379901,9.85276700133507,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.574,500,-360,0,0,-30.8071472581637,0,-1.14246470361372,19.4711299698372,9.85134107709927,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.576,500,-360,0,0,-30.8071472581637,0,-1.20407900105657,19.4793388635376,9.84990632441821,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.578,500,-360,0,0,-30.8071472581637,0,-1.26569329849942,19.4875462095985,9.84846274495108,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.58,500,-360,0,0,-30.8071472581637,0,-1.32730759594227,19.4957519985287,9.84701034036727,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.582,500,-360,0,0,-30.8071472581637,0,-1.38892189338512,19.5039562208387,9.84554911234639,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.584,500,-360,0,0,-30.8071472581637,0,-1.45053619082797,19.512158867041,9.84407906257822,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.586,500,-360,0,0,-30.8071472581638,0,-1.51215048827082,19.5203599276499,9.84260019276278,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.588,500,-360,0,0,-30.8071472581638,0,-1.57376478571367,19.5285593931814,9.84111250461026,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.59,500,-360,0,0,-30.8071472581638,0,-1.63537908315652,19.5367572541535,9.83961599984107,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.592,500,-360,0,0,-30.8071472581638,0,-1.69699338059937,19.5449535010859,9.83811068018581,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.594,500,-360,0,0,-30.8071472581638,0,-1.75860767804222,19.5531481245002,9.83659654738526,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.596,500,-360,0,0,-30.8071472581638,0,-1.82022197548507,19.5613411149201,9.83507360319041,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.598,500,-360,0,0,-30.8071472581638,0,-1.88183627292791,19.569532462871,9.83354184936242,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.6,500,-360,0,0,-30.8071472581638,0,-1.94345057037076,19.5777221588801,9.83200128767266,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.602,500,-360,0,0,-30.8071472581638,0,-2.00506486781361,19.5859101934767,9.83045191990267,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.604,500,-360,0,0,-30.8071472581638,0,-2.06667916525646,19.5940965571919,9.82889374784419,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.606,500,-360,0,0,-30.8071472581638,0,-2.12829346269931,19.6022812405587,9.82732677329911,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.608,500,-360,0,0,-30.8071472581638,0,-2.18990776014216,19.6104642341124,9.82575099807954,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.61,500,-360,0,0,-30.8071472581638,0,-2.25152205758501,19.6186455283897,9.82416642400773,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.612,500,-360,0,0,-30.8071472581638,0,-2.31313635502786,19.6268251139297,9.82257305291613,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.614,500,-360,0,0,-30.8071472581638,0,-2.37475065247071,19.6350029812732,9.82097088664735,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.616,500,-360,0,0,-30.8071472581638,0,-2.43636494991356,19.6431791209632,9.81935992705419,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.618,500,-360,0,0,-30.8071472581638,0,-2.49797924735641,19.6513535235446,9.81774017599959,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.62,500,-360,0,0,-30.8071472581638,0,-2.55959354479926,19.6595261795643,9.81611163535668,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.622,500,-360,0,0,-30.8071472581638,0,-2.62120784224211,19.6676970795711,9.81447430700873,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.624,500,-360,0,0,-30.8071472581638,0,-2.68282213968496,19.6758662141162,9.81282819284921,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.626,500,-360,0,0,-30.8071472581638,0,-2.74443643712781,19.6840335737524,9.81117329478172,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.628,500,-360,0,0,-30.8071472581638,0,-2.80605073457066,19.6921991490349,9.80950961472003,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.63,500,-360,0,0,-30.8071472581638,0,-2.86766503201351,19.7003629305207,9.80783715458806,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.632,500,-360,0,0,-30.8071472581638,0,-2.92927932945636,19.7085249087691,9.80615591631988,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.634,500,-360,0,0,-30.8071472581638,0,-2.99089362689921,19.7166850743413,9.80446590185972,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.636,500,-360,0,0,-30.8071472581638,0,-3.05250792434206,19.7248434178007,9.80276711316195,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.638,500,-360,0,0,-30.8071472581639,0,-3.11412222178491,19.7329999297128,9.80105955219111,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.64,500,-360,0,0,-30.8071472581639,0,-3.17573651922775,19.7411546006452,9.79934322092186,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.642,500,-360,0,0,-30.8071472581639,0,-3.2373508166706,19.7493074211676,9.797618121339,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.644,500,-360,0,0,-30.8071472581639,0,-3.29896511411345,19.7574583818519,9.79588425543748,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
