time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,thetaError
1.63,600,NaN,NaN,NaN,0,NaN,0,6.159609237322,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.64,600,NaN,NaN,NaN,0,NaN,0,6.19593736151,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.65,600,NaN,NaN,NaN,0,NaN,0,6.23226548569801,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6328125,NaN
1.66,600,NaN,NaN,NaN,0,NaN,0,6.26859360988601,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.67,600,NaN,NaN,NaN,0,NaN,0,6.30476548407751,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.68,600,NaN,NaN,NaN,0,NaN,0,6.340937358269,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.69,600,NaN,NaN,NaN,0,NaN,0,6.3771092324605,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.7,600,NaN,NaN,NaN,0,NaN,0,6.41328110665199,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.71,600,NaN,NaN,NaN,0,NaN,0,6.44945298084349,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.72,600,NaN,NaN,NaN,0,NaN,0,6.48562485503498,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.73,600,NaN,NaN,NaN,0,NaN,0,6.52179672922648,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.74,600,NaN,NaN,NaN,0,NaN,0,6.55796860341798,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.75,600,NaN,NaN,NaN,0,NaN,0,6.59414047760947,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.6171875,NaN
1.76,600,NaN,NaN,NaN,0,NaN,0,6.63031235180097,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.609375,NaN
1.77,600,NaN,NaN,NaN,0,NaN,0,6.66640610099421,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.609375,NaN
1.78,600,NaN,NaN,NaN,0,NaN,0,6.70249985018745,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.609375,NaN
1.79,600,NaN,NaN,NaN,0,NaN,0,6.73859359938069,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.609375,NaN
1.8,600,NaN,NaN,NaN,0,NaN,0,6.77468734857393,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.609375,NaN
1.81,600,NaN,NaN,NaN,0,NaN,0,6.81078109776718,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.59375,NaN
1.82,600,NaN,NaN,NaN,0,NaN,0,6.84671859696391,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.59375,NaN
1.83,600,NaN,NaN,NaN,0,NaN,0,6.88265609616064,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.59375,NaN
1.84,600,NaN,NaN,NaN,0,NaN,0,6.91859359535738,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.59375,NaN
1.85,600,NaN,NaN,NaN,0,NaN,0,6.95453109455411,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.59375,NaN
1.86,600,NaN,NaN,NaN,0,NaN,0,6.99046859375085,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.5859375,NaN
1.87,600,NaN,NaN,NaN,0,NaN,0,7.02632796794933,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.5859375,NaN
1.88,600,NaN,NaN,NaN,0,NaN,0,7.06218734214781,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.5859375,NaN
1.89,600,NaN,NaN,NaN,0,NaN,0,7.09804671634629,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.5859375,NaN
1.9,600,NaN,NaN,NaN,0,NaN,0,7.13390609054477,0,NaN,NaN,NaN,NaN,0,2.05380981721093,3.5859375,NaN
