time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,velocity,b
18.87904,500,-115.7,-94.9592906080398,-8.87889822140642,-5.7191629981952,-57.9710243728702,-57.4029657091594,52.0564650688373,-21.6475949118349,-10.8945795738817,-8.1659027974992,-2.13276691980772,-2.52612470073658,135.556384906031,2.05380981721093,3.1875
18.88717,500,-115.7,-97.1011279654436,-8.87508164556446,-5.72427448818973,-58.0378316705131,-57.4602084527618,52.0748513626753,-21.6736325726071,-10.8926964504539,-8.28846715671778,-2.13465004323551,-2.64472246241711,135.756884766326,2.05380981721093,3.1875
18.89656,500,-115.7,-97.1649772190375,-8.80773988294902,-5.72937850964508,-58.1038700905354,-57.5175022365776,52.0932147010074,-21.6996864280776,-10.8594695853002,-8.29458378156387,-2.16787690838917,-2.64579500222038,135.955578195518,2.05380981721093,3.1875
18.90565,500,-115.7,-96.4234931620181,-8.80565903082039,-5.73405245527391,-58.1709446184356,-57.5748427598487,52.111555130333,-21.7257564152608,-10.8584428792801,-8.25535810392388,-2.1689036144093,-2.60153260958952,136.147299062476,2.05380981721093,3.1875
18.914,500,-115.7,-96.4920766712831,-8.79443819831983,-5.73872492486451,-58.2378137722419,-57.6322300078146,52.1298725986197,-21.7518425405987,-10.852906447296,-8.2615253704312,-2.17444004639337,-2.60308756554502,136.339123575694,2.05380981721093,3.1875
18.92256,500,-115.7,-96.3490319425992,-9.07977505276179,-5.74317181999738,-58.3077454155019,-57.6896617247309,52.1481221843158,-21.777880855377,-10.9936935134151,-8.2557776719031,-2.0336529802743,-2.59272901303889,136.539364417706,2.05380981721093,3.1796875
18.93133,500,-115.7,-96.422235740654,-9.0722139419604,-5.7476213966536,-58.3774883418295,-57.7471379374128,52.1663487310738,-21.8039353023649,-10.9899628120011,-8.26209302301848,-2.03738368168829,-2.59465610999537,136.740003826331,2.05380981721093,3.1796875
18.94002,500,-115.7,-96.3832387609236,-9.0722139419604,-5.75201474637973,-58.4472773337292,-57.8046580835909,52.1845522004858,-21.8300058780382,-10.9899628120011,-8.26209302301848,-2.03738368168829,-2.59026520967423,136.940643234957,2.05380981721093,3.1796875
18.94942,500,-115.7,-96.3832387609236,-9.0722139419604,-5.75201474637973,-58.4472773337292,-57.8046580835909,52.1845522004858,-21.8300058780382,-10.9899628120011,-8.26209302301848,-2.03738368168829,-2.59026520967423,136.940643234957,2.05380981721093,3.1796875
18.95714,500,-115.7,-99.2173744074576,-9.07832904201562,-5.75786024181195,-58.4566653139744,-57.862236684722,52.2027322061562,-21.8560928212932,-10.9929800422761,-8.42381676794486,-2.03436645141327,-2.74765353974797,137.167092120894,2.05380981721093,3.1796875
18.96668,500,-115.7,-99.2221579752425,-9.06057047223375,-5.76366126928933,-58.5786639532087,-57.9198732961266,52.2208887072203,-21.8821961292,-10.9842178480515,-8.42697027861725,-2.04312864563789,-2.74503863923125,137.393075743426,2.05380981721093,3.1796875
18.97598,500,-115.7,-99.1602501882118,-8.97560783898441,-5.76938318422611,-58.643463648595,-57.9775671266793,52.2390216708665,-21.9083157931331,-10.9422967303315,-8.42634726170275,-2.08504976335792,-2.73869109268588,137.615637383922,2.05380981721093,3.1796875
18.98511,500,-115.7,-99.1703727112852,-9.20151304555655,-5.77506442645936,-58.7104874295059,-58.0353177696531,52.2571310554495,-21.9344518105151,-11.0537598335346,-8.42974036921,-1.97358666015481,-2.73643773984991,137.846190567598,2.05380981721093,3.1796875
18.99332,500,-115.7,-99.1794760099179,-9.19158247344572,-5.78070478793898,-58.7773657381596,-58.0931248162404,52.2752168194246,-21.9606041785915,-11.0488600244472,-8.43305602828949,-1.97848646924222,-2.73414707494089,138.076638516693,2.05380981721093,3.1796875
19.00133,500,-115.7,-99.0195146284755,-9.17904835926244,-5.78621586613881,-58.8443146222286,-58.1509869736085,52.2932789417657,-21.9867728803382,-11.0426756107102,-8.42683352100168,-1.98467088297916,-2.72235858532585,138.30533332416,2.05380981721093,3.1796875
19.01062,500,-115.7,-101.914623807708,-9.17034576867076,-5.79320210823571,-58.9070172884997,-58.2089189933959,52.3113170298433,-22.0129581546936,-11.0383816957183,-8.59254144557415,-1.98896479797109,-2.88262810599901,138.560400407721,2.05380981721093,3.1796875
19.01914,500,-115.7,-101.914623807708,-9.17034576867076,-5.79320210823571,-58.9070172884997,-58.2089189933959,52.3113170298433,-22.0129581546936,-11.0383816957183,-8.59254144557415,-1.98896479797109,-2.88262810599901,138.560400407721,2.05380981721093,3.1796875
