time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,obstaclex,obstacley
19.866,500,-360,-136.879325726972,-12.4755171349208,-10.9488112993599,2.64220616213335,5.79141417308565,80.8507966979027,-0.0223468584368125,-22.4446348135748,-14.6574428696791,2.17737146989204,6.95141692297283,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.868,500,-360,-137.239751541365,-12.4992184125149,-10.9800771135229,2.6172551266784,5.76945401781555,80.859121439113,-0.0219685268061166,-22.4680235436585,-14.6984420010944,2.20076019997578,6.97212481856542,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.87,500,-360,-137.599677112154,-12.5228618732372,-11.0113256641674,2.59225668866601,5.7474313654412,80.867446382904,-0.0215946793514511,-22.4913552192986,-14.7394100152985,2.22409187561583,6.99282975963812,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.872,500,-360,-137.959092579768,-12.5464483644776,-11.0425559068398,2.56721096372992,5.72534625257853,80.8757715272164,-0.0212253242137083,-22.5146306767103,-14.7803456040744,2.2473673330276,7.0135309930475,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.874,500,-360,-138.317988244659,-12.5699787283894,-11.0737668052933,2.54211806580912,5.70319871791599,80.8840968699762,-0.02086046948424,-22.5378507469416,-14.8212474718077,2.27058740325883,7.03422776924404,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.876,500,-360,-138.676354571282,-12.5934538018589,-11.1049573317122,2.51697810715826,5.68098880219766,80.8924224090939,-0.0205001232050352,-22.5610162558427,-14.8621143358207,2.29375291215999,7.05491934238152,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.878,500,-360,-139.034182191269,-12.6168744164762,-11.1361264669407,2.49179119835823,5.6587165482059,80.9007481424652,-0.0201442933689063,-22.5841280240377,-14.9029449266872,2.31686468035499,7.07560497045378,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.88,500,-360,-139.391461905911,-12.6402413985059,-11.1672732007141,2.46655744832673,5.63638200074364,80.9090740679706,-0.0197929879196832,-22.6071868668952,-14.9437379885306,2.33992352321248,7.09628391545273,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.882,500,-360,-139.748184688059,-12.6635555688582,-11.198396531889,2.44127696432896,5.61398520661607,80.9174001834762,-0.0194462147524169,-22.6301935945002,-14.9844922793043,2.36293025081749,7.11695544354178,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.884,500,-360,-140.104341683534,-12.686817743061,-11.2294954686699,2.41594985198827,5.59152621461198,80.9257264868329,-0.0191039817135913,-22.6531490116262,-15.0252065710558,2.38588566794344,7.13761882524055,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.886,500,-360,-140.472939035827,-12.7102060657419,-11.2605690288333,2.39057621529697,5.56900507548462,80.9340529758773,-0.018766296601344,-22.6762289137168,-15.0662460041461,2.40896557003409,7.15790698164554,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.888,500,-360,-140.813269506142,-12.7331831706744,-11.2916617775197,2.36515580195808,5.54642175085693,80.9423796485322,-0.0184331696882737,-22.6989030207661,-15.1065086889145,2.43163967708333,7.17900975734237,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.89,500,-357.839999897406,-141.167945798614,-12.6946810814679,-11.3226740271596,2.33968943440714,5.52377640172702,80.9507065024852,-0.0181046057129649,-22.600106863681,-15.1470957563891,2.45444710583622,7.19962927531346,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.892,500,-355.692959796042,-141.521978797855,-12.6564996902948,-11.3536592637049,2.31430007103828,5.50106908212107,80.9590335355329,-0.0177806124035441,-22.501991986376,-15.1876380589432,2.47720619281947,7.2202402444565,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.894,500,-353.558801935899,-141.875367692171,-12.6186375999423,-11.3846163408142,2.28898707045539,5.47829984835796,80.9673607454567,-0.0174611974286472,-22.4045548211983,-15.2281344425036,2.49991774810988,7.24084155639519,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
19.896,500,-351.437449023525,-142.228110671875,-12.58109341561,-11.4155441561763,2.2637497940568,5.45546875896119,80.9756881300235,-0.0171463683996665,-22.3077918160093,-15.2685837683545,2.52258257103197,7.26143217429526,energy,0.513452454302732,4.16666666666667,81.32771,0.5229801
