time[s],gpsLat[deg],gpsLon[deg],gpsDir[deg],velocity[km/h],yawRate[deg/s],deltav[deg],deltas[deg],vs[-],RTT[ms],accel[0-1],brake[0-1],steering[deg],omegam[deg/s],um[-],thetam[deg],b[-],hmd rot x[deg],hmd rot y[deg],hmd rot z[deg]
1.491453,34.7748,135.3757,275.93,0,0,-3.9,25.4,5.626,91,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,358.0779,17.97023,6.353126
1.502783,34.7748,135.3757,275.93,0,0,-3.9,25.4,5.626,62,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,358.9896,17.89515,6.624484
1.513482,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,62,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,359.8116,17.83062,6.763281
1.524949,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,62,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,0.6665469,17.71941,6.922122
1.537371,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,62,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,1.651982,17.55066,7.084774
1.547451,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,62,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,2.476184,17.37823,7.211789
1.557953,34.7748,135.3757,275.93,0,0,-3.9,25.1,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,3.284798,17.34386,7.262792
1.569645,34.7748,135.3757,275.93,0,-0.01,-3.9,25.2,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,4.060609,17.45817,7.236701
1.580349,34.7748,135.3757,275.93,0,-0.01,-3.9,25.3,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,4.776594,17.66373,7.241723
1.591329,34.7748,135.3757,275.93,0,-0.01,-3.9,25.3,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,5.320752,17.87614,7.322272
1.602876,34.7748,135.3757,275.93,0,-0.01,-3.9,25.3,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,5.917756,18.04149,7.476815
1.614944,34.7748,135.3757,275.93,0,-0.01,-3.9,25.3,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,6.505982,18.16625,7.580637
1.625339,34.7748,135.3757,275.93,0,-0.01,-3.9,25.3,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,7.006837,18.26009,7.589161
1.636958,34.7748,135.3757,275.93,0,-0.01,-3.9,25.3,5.62598,79,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,7.546453,18.46086,7.393186
